Scenario_Type,Condition,N_Patients,Patients_List,Goal_Met_Count,Goal_Met_Rate,Avg_Turns,Safety_Mean,Tool_Use_Mean,Dialogue_Planning_Mean,Avg_Questions_Per_Turn,Avg_Latency_ms,Avg_Total_Tokens,Analysis_Constraint_Note
DAILY_DIET,A,2,SP-001;SP-002,2,100.0%,5.00,2.00,2.00,2.00,1.00,1418.2,18307.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
DAILY_DIET,B,2,SP-001;SP-002,2,100.0%,5.00,2.00,1.50,1.00,1.60,3568.3,14611.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
DAILY_DIET,C,2,SP-001;SP-002,0,0.0%,5.00,2.00,2.00,2.00,1.10,3058.3,9225.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
DAILY_DIET,D,2,SP-001;SP-002,1,50.0%,5.00,2.00,2.00,2.00,0.90,3058.5,6648.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
FACT_CONTRADICTION,A,2,SP-011;SP-012,1,50.0%,5.00,2.00,2.00,2.00,0.90,1164.6,18231.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
FACT_CONTRADICTION,B,2,SP-011;SP-012,2,100.0%,3.50,2.00,2.00,1.75,1.25,3229.4,7498.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
FACT_CONTRADICTION,C,2,SP-011;SP-012,0,0.0%,5.00,2.00,1.50,1.00,1.40,3555.8,12105.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
FACT_CONTRADICTION,D,2,SP-011;SP-012,1,50.0%,5.00,2.00,2.00,2.00,1.00,2937.7,2894.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
MEDICATION_NONADHERENCE,A,2,SP-005;SP-006,2,100.0%,3.50,2.00,1.75,2.00,0.88,1788.7,16359.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
MEDICATION_NONADHERENCE,B,2,SP-005;SP-006,2,100.0%,4.00,2.00,2.00,2.00,1.50,4267.0,7977.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
MEDICATION_NONADHERENCE,C,2,SP-005;SP-006,1,50.0%,5.00,2.00,2.00,2.00,1.10,4118.2,10234.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
MEDICATION_NONADHERENCE,D,2,SP-005;SP-006,0,0.0%,5.00,2.00,2.00,2.00,1.50,4204.9,6570.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
MEDICATION_SIDE_EFFECT,A,2,SP-003;SP-004,2,100.0%,3.00,2.00,1.75,2.00,0.25,2106.7,16580.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
MEDICATION_SIDE_EFFECT,B,2,SP-003;SP-004,2,100.0%,3.50,2.00,2.00,2.00,1.50,4079.6,11766.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
MEDICATION_SIDE_EFFECT,C,2,SP-003;SP-004,2,100.0%,2.00,2.00,2.00,2.00,1.50,5238.5,3570.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
MEDICATION_SIDE_EFFECT,D,2,SP-003;SP-004,2,100.0%,5.00,2.00,1.50,2.00,0.80,4006.7,18312.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
PREVISIT_SUMMARY,A,2,SP-009;SP-010,2,100.0%,4.00,2.00,2.00,1.75,1.12,1216.8,15018.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
PREVISIT_SUMMARY,B,2,SP-009;SP-010,2,100.0%,4.00,2.00,2.00,2.00,1.38,3797.1,7892.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
PREVISIT_SUMMARY,C,2,SP-009;SP-010,2,100.0%,4.00,2.00,1.75,1.50,1.12,4137.4,10376.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
PREVISIT_SUMMARY,D,2,SP-009;SP-010,2,100.0%,4.00,2.00,2.00,2.00,1.00,3329.6,6795.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
SUBACUTE_HYPOGLYCEMIA,A,2,SP-007;SP-008,2,100.0%,4.50,2.00,2.00,2.00,0.88,1476.1,17777.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
SUBACUTE_HYPOGLYCEMIA,B,2,SP-007;SP-008,2,100.0%,3.50,2.00,2.00,2.00,1.12,4389.6,7345.5,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
SUBACUTE_HYPOGLYCEMIA,C,2,SP-007;SP-008,1,50.0%,5.00,2.00,1.25,2.00,0.90,4801.2,14398.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
SUBACUTE_HYPOGLYCEMIA,D,2,SP-007;SP-008,2,100.0%,3.50,2.00,2.00,2.00,1.33,4825.6,8452.0,樣本人數過小 (N=2)，僅限描述性呈現，嚴禁進行情境內統計顯著性檢定
